date,Actual,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS,Ensemble_Avg,Bandit_Online,frank_wolfe_3_weeks,nnls_3_weeks,ensemble_selection_3_weeks,Bandit_3_weeks,frank_wolfe_3_weeks_weighted,nnls_3_weeks_weighted,ensemble_selection_3_weeks_weighted,frank_wolfe_3_weeks_exponential,nnls_3_weeks_exponential,ensemble_selection_3_weeks_exponential,frank_wolfe_4_weeks,nnls_4_weeks,ensemble_selection_4_weeks,Bandit_4_weeks,frank_wolfe_4_weeks_weighted,nnls_4_weeks_weighted,ensemble_selection_4_weeks_weighted,frank_wolfe_4_weeks_exponential,nnls_4_weeks_exponential,ensemble_selection_4_weeks_exponential,frank_wolfe_5_weeks,nnls_5_weeks,ensemble_selection_5_weeks,Bandit_5_weeks,frank_wolfe_5_weeks_weighted,nnls_5_weeks_weighted,ensemble_selection_5_weeks_weighted,frank_wolfe_5_weeks_exponential,nnls_5_weeks_exponential,ensemble_selection_5_weeks_exponential,frank_wolfe_6_weeks,nnls_6_weeks,ensemble_selection_6_weeks,Bandit_6_weeks,frank_wolfe_6_weeks_weighted,nnls_6_weeks_weighted,ensemble_selection_6_weeks_weighted,frank_wolfe_6_weeks_exponential,nnls_6_weeks_exponential,ensemble_selection_6_weeks_exponential,frank_wolfe_7_weeks,nnls_7_weeks,ensemble_selection_7_weeks,Bandit_7_weeks,frank_wolfe_7_weeks_weighted,nnls_7_weeks_weighted,ensemble_selection_7_weeks_weighted,frank_wolfe_7_weeks_exponential,nnls_7_weeks_exponential,ensemble_selection_7_weeks_exponential,frank_wolfe_8_weeks,nnls_8_weeks,ensemble_selection_8_weeks,Bandit_8_weeks,frank_wolfe_8_weeks_weighted,nnls_8_weeks_weighted,ensemble_selection_8_weeks_weighted,frank_wolfe_8_weeks_exponential,nnls_8_weeks_exponential,ensemble_selection_8_weeks_exponential,frank_wolfe_9_weeks,nnls_9_weeks,ensemble_selection_9_weeks,Bandit_9_weeks,frank_wolfe_9_weeks_weighted,nnls_9_weeks_weighted,ensemble_selection_9_weeks_weighted,frank_wolfe_9_weeks_exponential,nnls_9_weeks_exponential,ensemble_selection_9_weeks_exponential,frank_wolfe_10_weeks,nnls_10_weeks,ensemble_selection_10_weeks,Bandit_10_weeks,frank_wolfe_10_weeks_weighted,nnls_10_weeks_weighted,ensemble_selection_10_weeks_weighted,frank_wolfe_10_weeks_exponential,nnls_10_weeks_exponential,ensemble_selection_10_weeks_exponential,frank_wolfe_11_weeks,nnls_11_weeks,ensemble_selection_11_weeks,Bandit_11_weeks,frank_wolfe_11_weeks_weighted,nnls_11_weeks_weighted,ensemble_selection_11_weeks_weighted,frank_wolfe_11_weeks_exponential,nnls_11_weeks_exponential,ensemble_selection_11_weeks_exponential
2024-12-01,313061.254,342127.94,323415.4774009268,320515.48954059894,342765.5812227753,345456.02584,346007.0482619313,324009.15209126595,325145.2322520668,355322.44,352687.7102848508,312820.03,318283.2720187113,324980.21462134214,326170.625,308437.40625,331209.5760689646,326170.625,333040.72852092807,328743.48044032016,332937.1670736563,326170.625,335235.852952623,328450.38212642213,333883.3659497855,334407.9445017122,327838.4133456237,334358.3658176968,334949.73315875104,326494.37764739315,335280.8430624989,326170.625,335967.9477099016,325898.34945910843,336860.5222036822,335373.32273709186,326732.8050149796,335753.3253987882,334399.77021464566,326440.847398492,334048.48870240006,326170.625,335398.8292735799,327627.05128272984,335469.68744644057,335124.0393694807,326768.7717929204,335280.8430624989,334633.16986983846,327022.7899253882,333890.0083052572,326170.625,335108.75898501003,327067.3984999283,334651.4876212944,335238.6258244653,326838.27900546975,335280.8430624989,332500.68436904135,325081.32038267306,332255.3333065536,326170.625,333264.7452652957,325685.74495695217,333016.81262259086,334743.07863725885,326507.6231667427,334490.6070518906,332093.224219073,323319.0232157119,331569.37471560127,326170.625,332936.74904932117,324572.7137165527,332357.09319458756,334570.2740869292,326165.39366985136,334520.9710386894,332709.5011401946,324858.08483577066,333332.1661246488,326170.625,333407.00550048595,325771.9507022778,333175.29301973374,334709.8488180474,326246.3750120491,334490.6070518906,332709.5011401946,324858.08483577066,333332.1661246488,326170.625,333407.00550048595,325771.9507022778,333175.29301973374,334709.8488180474,326246.3750120491,334490.6070518906,332709.5011401946,324858.08483577066,333332.1661246488,326170.625,333407.00550048595,325771.9507022778,333175.29301973374,334709.8488180474,326246.3750120491,334490.6070518906
2024-12-02,372222.365,365406.47,354047.49651194643,353331.3230943357,362920.2998790481,385635.0814,372648.0724122054,349883.6772979254,350960.4117485231,385131.84,382261.43857827445,325668.34,354339.2226034694,346792.5355948537,348793.59375,349432.1875,359150.13310803875,348793.59375,354368.6992816671,351491.7195694579,353884.9677339145,348793.59375,356992.59561656986,352920.0650509439,356146.63777671556,355646.4176622426,351528.6406363109,356080.37140209234,360625.0786198485,351665.0953612176,359369.0387517319,348793.59375,361105.03204675205,350958.5188576568,361968.2735816866,358963.16692436405,351078.1492141314,358696.3384598725,358755.5382697156,350893.06668965425,357656.9428612926,348793.59375,359713.722571768,352054.7793404009,359292.91042219964,358323.23871525994,350522.45902510645,358696.3384598725,359009.8989493855,351126.7822681526,359250.6497578771,348793.59375,359619.64342153183,351604.0019892197,359668.15791801893,358700.4779647134,350699.1131674606,358696.3384598725,358401.9651731069,350625.2709503717,357733.0711908249,348793.59375,359413.5269045806,351537.7582911445,358525.826846786,358342.1127009088,350640.27980366745,358696.3384598725,357715.2630920295,350634.69355687045,357045.0610218141,348793.59375,359217.63020919997,352063.1747899493,358437.8470791217,358288.88238329894,350607.18070812034,358696.3384598725,359623.76168848545,351960.9388548762,359690.01495511056,348793.59375,360676.2194571534,353190.6441893017,361201.190006273,358502.5925344933,350577.8046382177,358696.3384598725,359623.76168848545,351960.9388548762,359690.01495511056,348793.59375,360676.2194571534,353190.6441893017,361201.190006273,358502.5925344933,350577.8046382177,358696.3384598725,359623.76168848545,351960.9388548762,359690.01495511056,348793.59375,360676.2194571534,353190.6441893017,361201.190006273,358502.5925344933,350577.8046382177,358696.3384598725
2024-12-03,372466.47,380845.16,377127.50699568406,380382.7335642584,381683.8177545725,384896.73872,378231.7836961598,363324.96804795496,379262.93241573917,381366.03,375707.0636648578,363241.2,352999.207209886,364546.5500088157,364704.5625,374118.5625,373495.92013852857,364704.5625,369174.5089233642,364840.15542599873,368871.4004141028,364704.5625,371092.61310349207,368282.8529074283,370807.42912838387,370256.8734194653,366487.8334081836,370483.58972618583,370611.1340477693,363653.9087816752,370510.561675932,364704.5625,371070.3199727839,365067.4710712599,370774.4087018196,370337.3057079591,364993.52634742565,369324.654524459,370644.2036288246,365114.7117142735,371334.9992221347,364704.5625,371766.9739134617,365767.033914368,371734.2257457387,370660.243469253,365338.8052982556,370909.788199536,371970.47124258475,365748.0211092706,372040.18837753765,364704.5625,372601.75470558635,365604.7884278486,371728.51216447493,370957.0589115053,365209.17036458186,371501.3569850448,371506.7761554568,365345.0444550381,370998.78365234024,364704.5625,371771.9049040051,365884.55837824964,371795.4481255558,370755.7895743964,365337.80818346963,370909.788199536,371858.54964643903,365772.80049592745,372048.3513173606,364704.5625,372471.96139901626,366151.8388731206,372592.13620528777,370922.26120797114,365336.12658285175,370909.788199536,371459.4012432043,365701.49537210574,371042.66773211706,364704.5625,372315.7873043607,365719.9183967768,372888.41551295976,370947.77546078066,365229.04682528053,370909.788199536,371459.4012432043,365701.49537210574,371042.66773211706,364704.5625,372315.7873043607,365719.9183967768,372888.41551295976,370947.77546078066,365229.04682528053,370909.788199536,371459.4012432043,365701.49537210574,371042.66773211706,364704.5625,372315.7873043607,365719.9183967768,372888.41551295976,370947.77546078066,365229.04682528053,370909.788199536
2024-12-04,374778.127,394137.22,394310.8597990484,387162.2292917811,400946.53771884297,405033.35068,390719.8396807843,380123.86940300296,383099.64310683217,395850.2,388059.09882083663,384314.5,355565.4432919801,379707.1325976759,370706.1875,360559.125,384686.3482093856,370706.1875,376018.6574820054,366326.5585776734,376126.58726399875,370706.1875,374216.94797903794,363820.0241508039,374821.3798374441,374667.0050024023,365209.8694580679,374351.54223359725,381113.5024536045,364814.14178876975,382032.0016280401,370706.1875,380050.4274219144,363281.48740157747,380293.8379595238,379283.31642926775,363806.9384484727,380130.2546519268,381087.8052263941,366778.27526244364,381311.0138086106,370706.1875,380604.6328623869,363677.89634649863,380328.6569614133,379607.9642779504,364083.5085086828,380451.92715670646,382197.5505483789,367733.98313518317,382592.090317548,370706.1875,380761.616766914,363976.595795743,381768.67363850103,379495.9273166562,364179.899312177,378890.4034072592,380625.9730666247,366622.7893176798,380740.51046807994,370706.1875,379579.7071961618,364462.40436596115,378839.6144629343,379247.43901542336,364358.54233882675,378890.4034072592,379816.9967234226,366266.16065472417,378947.79445280205,370706.1875,379007.60397479055,364249.05769215943,378839.6144629343,379207.51354711107,364333.72440922714,380130.2546519268,380153.2550837038,367776.42694838817,380344.62690384866,370706.1875,379555.66201511945,364815.6442673507,378839.6144629343,379187.8919703095,364269.89242519933,379806.0013676962,380153.2550837038,367776.42694838817,380344.62690384866,370706.1875,379555.66201511945,364815.6442673507,378839.6144629343,379187.8919703095,364269.89242519933,379806.0013676962,380153.2550837038,367776.42694838817,380344.62690384866,370706.1875,379555.66201511945,364815.6442673507,378839.6144629343,379187.8919703095,364269.89242519933,379806.0013676962
2024-12-05,375695.132,386123.47,387108.8263234479,391548.12187047227,400905.2138728699,416729.07496000006,400968.19865522895,383898.9947066689,384119.3700102896,403432.4,390643.777663764,379399.47,359170.43808185996,384761.23385237256,374679.5,365247.5625,387249.0437497982,374679.5,379931.5741196616,370680.9495446422,379740.41713260376,374679.5,379560.1368088476,369282.71182044357,379357.64140929224,380054.4033141716,370264.904368946,379517.39441319037,382230.82792469725,369129.0732509761,381663.7286329938,374679.5,381701.4611638595,367534.62581061706,381327.57820405846,382634.31145499286,367901.12353239715,383243.81368353433,384834.73953764746,369966.73626209336,385538.0049127429,374679.5,384252.5575823331,367408.2453052621,384334.05341803597,383637.51314964215,367920.96435301175,384151.08533135685,385237.1421006863,371607.9455853561,386587.5954880716,374679.5,383562.779909004,368708.6608625882,383084.4745532466,383439.3392056739,368189.97143319296,384151.08533135685,383524.62427179184,370428.8526548913,383881.3421507921,374679.5,382705.34763975715,369021.37110946304,383334.36149177194,383389.85594197497,368376.49716582027,384440.4722084111,383321.89469629776,369537.10964868544,382222.85869061283,374679.5,382433.25918613863,368307.9277378828,382838.29982160777,383344.4031512718,368345.78653065354,385147.36410866014,384084.18153342826,371699.0399982851,383935.83252593956,374679.5,383519.5381180596,368807.401502965,383592.1135110686,383475.10287105886,368285.8927929699,384443.47148376156,384084.18153342826,371699.0399982851,383935.83252593956,374679.5,383519.5381180596,368807.401502965,383592.1135110686,383475.10287105886,368285.8927929699,384443.47148376156,384084.18153342826,371699.0399982851,383935.83252593956,374679.5,383519.5381180596,368807.401502965,383592.1135110686,383475.10287105886,368285.8927929699,384443.47148376156
2024-12-06,355113.474,371301.1,374357.2705508086,385293.0706339915,380841.9742613645,403022.77852,377331.54063214234,371079.9306189483,374449.8147343504,384171.5,363362.80634906073,349636.12,350494.68530031043,370650.6588061111,339135.03125,347980.9375,369540.6145271391,339135.03125,353434.9661957474,345845.8142574467,354007.2689536667,339135.03125,355776.02797657246,347906.96834000736,356129.306709214,355479.6581840304,348163.38883269206,355424.0644900612,354262.7258912468,343400.2720678575,353299.3985495238,339135.03125,356271.74289450777,345000.22011092724,356782.0536281972,355917.8820496767,344526.29765207786,354759.4140311117,357343.83475925424,344300.36526182934,358306.55629006494,339135.03125,359376.91884098935,345281.49789772613,358270.68041338655,357659.6095669911,344500.88992511557,359144.7822672149,357753.5650928918,344592.8884729855,358426.25856627023,339135.03125,359194.01946971833,345567.58693662117,359381.164044339,357794.63029826275,344283.43062171066,357634.22584959585,356220.149096321,343960.33724993054,356839.21981763927,339135.03125,357787.26368242025,345169.6335436854,357768.29534330335,357545.63269816356,344279.92672013666,357634.22584959585,355932.3263380347,343437.80994275026,356839.21981763927,339135.03125,357127.5572768047,344671.1013533442,356116.8758051933,357443.7110720901,344233.3369436434,355982.8063114858,358051.30031202536,345733.4783812439,357895.44859186007,339135.03125,359416.4302642968,345811.7855207707,358833.5459529739,357967.2776192524,344364.8907681579,357634.22584959585,358268.62176033924,346446.5781883582,357895.44859186007,339135.03125,359453.9169547719,345740.97621111374,358833.5459529739,358040.66373787716,344343.8382499197,359144.7822672149,358268.62176033924,346446.5781883582,357895.44859186007,339135.03125,359453.9169547719,345740.97621111374,358833.5459529739,358040.66373787716,344343.8382499197,359144.7822672149
2024-12-07,297777.976,331388.34,323788.4366229406,344778.90322544967,316300.8490586466,332746.58776,310467.69400061585,327956.82482174656,324268.9851122257,332045.97,326117.2063227963,335532.4,304192.70637049206,323638.4516867996,303152.625,318829.15625,323680.3429987809,303152.625,311776.9543798684,308098.3009546319,312256.2453077065,303152.625,312040.8629618331,308231.3947873523,312714.5440177321,312788.8930731171,308525.37217031163,313004.0334114122,312854.98743019125,306431.46690728783,313125.9910957436,303152.625,313448.6903607629,307699.5549488734,312327.7423038916,312658.41233910987,307143.6649279759,313122.04618260206,313906.0951554089,306885.6186073731,313505.0675966667,303152.625,315438.1106433754,308180.45551880245,315908.30571576115,314856.36956118006,307319.2914528302,314036.22623864765,314268.6294446578,306801.27486794983,314899.1533166901,303152.625,315187.57470954506,307889.65841403743,314849.43157259125,314752.84702849446,307074.35126639187,315097.12594147545,315001.5014714089,307014.17864415626,314180.7011885304,303152.625,315606.70961350016,308054.41850698483,315843.62742957065,314738.3175403067,307162.65124960535,314482.1934982811,314684.5539996051,306950.43680895516,313963.9336143544,303152.625,315367.7425768801,307865.8157101559,315843.62742957065,314713.98598514614,307205.7069446286,314482.1934982811,314903.9085468245,307391.15434962965,314329.1461290066,303152.625,315026.2552808217,307973.6486980192,314912.0842991238,314657.19585295947,307229.63097254874,314100.9045248381,315125.08456178295,308328.2734737797,314365.77505526156,303152.625,315691.1383579974,308542.4960865027,314961.61198343296,314733.6893929738,307214.99986166216,314100.9045248381,315125.08456178295,308328.2734737797,314365.77505526156,303152.625,315691.1383579974,308542.4960865027,314961.61198343296,314733.6893929738,307214.99986166216,314100.9045248381
2024-12-08,306625.013,311638.62,303909.455217495,317540.8560551868,313484.98799295444,324376.13759999996,318441.2445602595,313630.9424186081,308254.44728629617,329072.62,340839.42749076104,315953.0,311162.6637669376,311447.3759701315,310927.09375,303811.0625,315632.66297390865,310927.09375,316890.84159683436,313792.6721718963,317091.9829911978,310927.09375,313754.0884973823,309659.8533399952,313788.27941127936,315011.4243570358,311483.7178302043,314989.8688844949,311930.076077293,309976.0463511302,311484.4983517836,310927.09375,311483.2859846627,309249.7485976337,311375.74012212636,312179.3211598024,309595.89341858425,312167.44676184456,313165.8286591872,309610.8556026622,314069.45370432193,310927.09375,312256.6087251387,309018.96112772817,311989.77483732736,312188.68104326556,309328.56868468167,312762.52340274747,312962.46054534253,309531.7898531972,313040.23317066074,310927.09375,312352.08168673137,309137.59981926257,311989.77483732736,312016.98905903415,309364.8961921139,311707.160883054,313098.5877034353,309407.1514996348,313211.9689016055,310927.09375,312018.8718692432,309032.2212007892,311989.77483732736,312149.15186879924,309320.8128023115,312747.5990365694,313005.3060486419,309346.7741570102,313479.6584897007,310927.09375,311869.7159514637,308971.49238322605,311617.0337658988,312189.0120781057,309288.73338920204,312747.5990365694,312804.34515096765,309434.9376259576,312066.4792647567,310927.09375,312094.2931215211,308974.90450501646,311940.96803067304,312230.64688651904,309284.05245695205,312747.5990365694,312862.8662257016,309783.87661922106,312317.4158484256,310927.09375,312235.80189261236,309249.3977358011,312257.4644254226,312158.48924621206,309295.5570118426,312747.5990365694,312862.8662257016,309783.87661922106,312317.4158484256,310927.09375,312235.80189261236,309249.3977358011,312257.4644254226,312158.48924621206,309295.5570118426,312747.5990365694
2024-12-09,372110.531,332221.0,343278.19556070195,347937.90393858444,330847.45181892556,374331.2928,350228.61324645387,343211.9693472883,347458.2794008178,370604.6,379161.53221199196,335332.97,352469.24120784225,341602.51195918623,346834.90625,342221.21875,349182.77859945287,346834.90625,349904.0652146647,348524.91483210097,349489.7067411543,346834.90625,348602.2872812904,348738.7213117036,348428.85261973273,348053.16109989805,348293.75049846916,347892.24929041445,345051.698313209,347739.2896731416,345012.3212375886,346834.90625,347545.95148265053,348010.5298117069,347351.06966469786,347467.1292064851,347924.71371322224,347194.0408660269,347970.16647762567,348277.8026040919,348182.25488936994,346834.90625,349970.0396333613,348219.1261307548,348757.39027120534,348284.9114101723,348145.1922851249,348310.1202198157,347977.847176105,346640.6647690222,348182.25488936994,346834.90625,350377.3637436464,347385.83226119203,347916.4773429747,348173.2584274066,347834.17218577885,348310.1202198157,346641.1135719735,346099.9968388902,347135.84107450565,346834.90625,348185.0739548586,347203.41612517636,347324.5371647948,347800.08611945197,347829.85774485435,346877.2671134051,346946.71272270556,346534.01531504345,345891.8963902711,346834.90625,348635.5991518756,347320.1384288908,348247.4496137248,347924.90606476396,347777.31442932406,346942.67416964675,347317.444597692,346652.4308603126,345976.2942525348,346834.90625,348414.9895959161,347339.5523614447,347912.01092364016,347974.62516470964,347725.22476794996,346877.2671134051,349531.8901082574,347423.4649981886,347742.8560798461,346834.90625,350855.24962897954,347919.0216696098,350098.4093032997,348258.973236397,347782.10549893265,346942.67416964675,349531.8901082574,347423.4649981886,347742.8560798461,346834.90625,350855.24962897954,347919.0216696098,350098.4093032997,348258.973236397,347782.10549893265,346942.67416964675
2024-12-10,395011.452,375519.66,381970.67111133964,387478.79621783097,386947.13072766754,380649.19516,384710.22631495993,372497.6644996906,391437.6128600971,388366.47,389225.5984365649,368632.12,364449.98743582936,377761.2663101697,383053.0,382578.40625,381018.5203549433,383053.0,377518.3264015478,375162.75770215446,377355.6630242603,383053.0,377638.1487743784,376550.73597929,378323.97845879314,379358.14075469674,378604.9347297487,379948.9792951446,381888.7169056063,380116.8835226647,381305.0972086052,383053.0,381176.8965907243,379674.07217211893,380487.5896522499,382165.8180018349,381005.1513950669,382550.2366821709,381099.9850381298,379335.5094772527,381574.5783832222,383053.0,380267.19771358307,379148.3964424779,381103.7671332598,382150.8929436423,380241.3154222359,382048.32701277983,380396.800160375,379972.6818317825,380688.7206420713,383053.0,379866.6197416587,379793.1962848136,380240.5090944898,381402.5708116272,380035.1811539708,382048.32701277983,381336.10650288087,380090.5929600737,381395.72118756344,383053.0,380445.5604925118,379731.3821085242,380947.50963998196,381524.1618421091,380051.1469656748,382233.7618093354,381211.2038843376,380048.1478038845,381210.28639100783,383053.0,380664.5332796868,379877.589925641,380955.45727937686,381603.8470577907,380072.38002581033,382233.7618093354,381398.6657265037,379604.27268752735,381058.5677284979,383053.0,381183.4890693716,379767.92147463595,380632.9558832974,381831.2858893021,380137.2226434179,382233.7618093354,380380.8673707088,378905.0386589138,380887.78499492846,383053.0,380104.5246409243,379056.12286658684,380439.5734473469,381498.58141854306,379947.22634504695,382233.7618093354,380380.8673707088,378905.0386589138,380887.78499492846,383053.0,380104.5246409243,379056.12286658684,380439.5734473469,381498.58141854306,379947.22634504695,382233.7618093354
