,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,TBATS,TFT,N-HiTS
2024-12-01,0.0,0.0,7.984031936127767e-05,0.0,0.1308343313373253,0.2302754491017965,0.0,0.0,0.0,0.0,0.0,0.07818762475049912,0.29176047904191643,0.0,0.2688622754491016
2024-12-02,0.0,0.0,0.0,0.0,8.782435129740531e-05,0.33831536926147665,0.0,0.0,0.0,0.0,0.0,4.79041916167665e-05,0.19579241516966084,2.395209580838325e-05,0.4657325349301399
2024-12-03,0.0,0.0,0.0,0.0,0.07928143712574859,0.013588822355289413,0.0,0.0,0.0,0.0,0.0,0.25570459081836344,0.6513213572854291,0.0,0.00010379241516966087
2024-12-04,0.0,0.0,0.0,0.0,0.18710578842315384,0.0,0.0,0.0,2.395209580838325e-05,0.0,0.0,0.20621956087824347,0.6065469061876244,0.0,0.00010379241516966087
2024-12-05,0.0,0.0,0.0,0.0,0.20888622754491035,0.0,0.0,0.0,6.387225548902212e-05,0.0,0.0,0.13570459081836342,0.5329980039920164,0.0,0.12234730538922152
2024-12-06,0.0,0.0,0.0,0.0,0.23225548902195625,0.0,0.0,0.0,1.596806387225553e-05,0.0,0.0,0.08490219560878245,0.5539880239520963,0.0,0.12883832335329326
2024-12-07,0.0,0.0,0.0,0.0,0.2327664670658682,0.0,0.0,0.0,0.0,0.0,0.0,0.013948103792415177,0.6063632734530944,0.0,0.14692215568862274
2024-12-08,0.0,0.0,0.0,0.0,0.22887025948103804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7711297405189617,0.0,0.0
2024-12-09,0.0,0.0,0.0,0.0,0.20869461077844328,0.017652694610778435,0.0,0.0,0.0,0.0,0.0,0.0,0.7736526946107789,0.0,0.0
2024-12-10,0.0,0.0,0.0,0.0,0.03922554890219565,0.30404790419161654,0.0,0.0,0.0,0.0,0.0,0.0,0.6567265469061878,0.0,0.0
2024-12-11,0.0,0.0,0.0,0.0,0.18553293413173666,0.0,0.0,0.0,0.0,0.08867065868263471,0.0,0.0,0.7257964071856291,0.0,0.0
2024-12-12,0.0,0.0,0.0,0.0,0.010930139720558885,0.0,0.0,0.10689021956087831,0.0,0.265636726546906,0.0,0.0,0.14383233532934148,0.47271057884231554,0.0
2024-12-13,0.0,0.0,0.0,0.0,0.13688622754491034,0.0,0.0,0.0,0.0,0.13921756487025938,0.0,0.0,2.395209580838325e-05,0.723872255489022,0.0
