,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,TBATS,TFT,N-HiTS
2024-12-01,0.0,0.0,0.0,0.08131167545990198,0.03146205179961565,0.0,0.0,0.0,0.0,0.0,0.0,0.13024416995757473,0.04092231914826866,0.6415843415789141,0.07447544205572487
2024-12-02,0.0,0.0,0.0,0.12195797884442751,0.04586871046455279,0.0,0.0,0.0,0.0,0.0,0.0,0.06822001395598634,0.015817670290607433,0.6347763789944518,0.11335924744997403
2024-12-03,0.0,0.044510625357649006,0.0,0.09354602460600278,0.0,0.0,0.0,0.0,0.0,0.0,0.022557019299316142,0.10930037449252021,0.011946997012973916,0.5141734881807883,0.20396547105074977
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2927041909231381,0.0383835792903392,0.4069138784441282,0.2619983513423946
2024-12-05,0.0,0.0232822842804474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2503217290750596,0.0240739451935032,0.4475998341447872,0.2547222073062024
2024-12-06,0.0,0.019738384488168677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27442062855054633,0.017171364531585798,0.41768519133675563,0.2709844310929436
2024-12-07,0.0,0.02223016284456285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30243015597492323,0.0030516580064787794,0.400613025506294,0.27167499766774117
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27815576916240237,0.0,0.4330153554312275,0.2888288754063702
2024-12-09,0.0,0.11360801399146359,0.0,0.0,0.0,0.018068081631577484,0.0,0.0,0.0,0.0,0.0,0.1759831596230581,0.03316798985494663,0.5661348727508011,0.09303788214815302
2024-12-10,0.0,0.08477376176976487,0.0,0.0,0.0,0.1244205138769763,0.0,0.0,0.0,0.0,0.0,0.15666785155838076,0.037092929942398295,0.5725552653135179,0.024489677538961925
2024-12-11,0.0,0.024543287910380965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2567310274277378,0.053905249904629915,0.6648204347572513,0.0
