Feature,Importance,AbsImportance
apparent_temperature,134171.01394854067,134171.01394854067
dew_point_2m,-109108.06855560085,109108.06855560085
temp_effective_roll_7,74709.43483965902,74709.43483965902
target_lag_1,61605.3712747841,61605.3712747841
temperature_2m,-51023.53744753178,51023.53744753178
apparent_temperature_roll_3,45370.18147240581,45370.18147240581
temperature_2m_roll_7,-44065.73227759374,44065.73227759374
relative_humidity_2m,30202.068285324138,30202.068285324138
wind_gusts_10m,28398.205707630488,28398.205707630488
apparent_temperature_roll_7,-24223.620641422178,24223.620641422178
target_lag_7,24196.832669280207,24196.832669280207
temp_effective,-24057.541052983834,24057.541052983834
temperature_2m_roll_3,-18304.736620510033,18304.736620510033
wind_speed_10m,-17273.898643017743,17273.898643017743
temperature_2m_lag_2,-10152.926581833242,10152.926581833242
sin_year,-9106.512509721,9106.512509721
temperature_2m_lag_1,7191.880296018433,7191.880296018433
is_working_day,6511.938624164819,6511.938624164819
target_lag_14,6472.386115906403,6472.386115906403
temp_effective_roll_3,-6414.115121085687,6414.115121085687
wind_speed_10m_roll_3,-5246.072387570454,5246.072387570454
apparent_temperature_lag_1,-4546.312416885046,4546.312416885046
apparent_temperature_lag_2,4222.723199768929,4222.723199768929
temp_effective_lag_1,4100.397957891462,4100.397957891462
day_of_year,-3991.1691742216435,3991.1691742216435
target_lag_2,-3645.895416708609,3645.895416708609
wind_speed_10m_lag_2,2504.009641638138,2504.009641638138
is_weekend,-2056.8280320054528,2056.8280320054528
wind_speed_10m_lag_1,1895.449298146124,1895.449298146124
is_holiday,-1580.0074377498902,1580.0074377498902
cos_year,1453.251370235238,1453.251370235238
direct_radiation,-918.5540793896071,918.5540793896071
temp_effective_lag_2,841.4937904478489,841.4937904478489
cloud_cover,310.57278910781093,310.57278910781093
wind_speed_10m_roll_7,200.82008089770258,200.82008089770258
