Feature,Importance,AbsImportance
target_lag_1,0.79679185,0.79679185
temp_effective,0.06519546,0.06519546
temperature_2m,0.048728198,0.048728198
target_lag_7,0.0165567,0.0165567
is_working_day,0.016272195,0.016272195
apparent_temperature,0.013581548,0.013581548
temperature_2m_roll_3,0.008052276,0.008052276
is_weekend,0.006878751,0.006878751
target_lag_14,0.0033839038,0.0033839038
day_of_year,0.0024457544,0.0024457544
direct_radiation,0.0021453458,0.0021453458
cos_year,0.0018801255,0.0018801255
sin_year,0.0017974863,0.0017974863
temp_effective_roll_3,0.0013402369,0.0013402369
target_lag_2,0.001159802,0.001159802
apparent_temperature_roll_3,0.0010413574,0.0010413574
temp_effective_lag_1,0.0009964744,0.0009964744
temp_effective_roll_7,0.0009103255,0.0009103255
is_holiday,0.0008440523,0.0008440523
temp_effective_lag_2,0.0008388215,0.0008388215
wind_speed_10m_roll_7,0.00075609435,0.00075609435
apparent_temperature_lag_2,0.0007066846,0.0007066846
temperature_2m_roll_7,0.00070012803,0.00070012803
apparent_temperature_lag_1,0.0006946143,0.0006946143
apparent_temperature_roll_7,0.00067322113,0.00067322113
relative_humidity_2m,0.0006469568,0.0006469568
temperature_2m_lag_1,0.0006464847,0.0006464847
wind_speed_10m_roll_3,0.00062550826,0.00062550826
wind_gusts_10m,0.0006192245,0.0006192245
wind_speed_10m_lag_1,0.00059938565,0.00059938565
wind_speed_10m_lag_2,0.00053911825,0.00053911825
cloud_cover,0.000504654,0.000504654
dew_point_2m,0.00050096045,0.00050096045
wind_speed_10m,0.0004807591,0.0004807591
temperature_2m_lag_2,0.00046550916,0.00046550916
