Model,MAE,RMSE,MAPE
TFT,9905.27233408717,13045.932108862282,5.207134619837416
CatBoost,13537.192601481933,18227.66221061538,7.014807034956416
XGBoost,13199.697489514803,17631.09798330695,7.1639563115356255
SVR,13309.417911037443,17525.222416662345,7.275990384041774
LightGBM,13560.035750810595,18073.466875155304,7.408392984128239
N-HiTS,13809.312649671052,17990.984250617163,7.513570518145007
ExtraTrees,15091.43726759043,19433.87957718385,8.308509207521746
AR_Eco,14945.947068796255,18659.153615047355,9.169514574650835
BayesianRidge,14851.629477151033,18450.78653321613,9.18445310729108
ElasticNet,17071.00993287151,20509.535156769303,10.67376797799373
NeuralProphet,17962.585642372534,22245.07327424812,11.744382558516172
KNN,21115.150699078946,26518.89037016826,12.374992483649292
LSTM,21292.889285773028,26590.972436815107,12.909280049696797
SARIMAX,18840.306086762634,25071.378912724205,13.045737978790948
Prophet,19161.232765273962,24113.403037694185,13.151534703258022
