,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.17372174209004138,0.0,0.0,0.0,0.06824631741397721,0.0,0.17103870663924595,0.0,0.252749004154978,0.3342442297017576
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.20549067615867922,0.0,0.0,0.0,0.0,0.0,0.22426421536108435,0.0,0.22419456051690972,0.3460505479633269
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.1697175649956263,0.0,0.0,0.0,0.0,0.0,0.2253779010034717,0.0,0.19746598276400948,0.40743855123689243
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.1429767157903292,0.0,0.0,0.0,0.0,0.0,0.21959859007303878,0.0,0.28456517449053564,0.3528595196460964
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.11957546067235965,0.0,0.0,0.0,0.0,0.0,0.18843564478670402,0.0,0.35593753268669215,0.3360513618542443
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.1265031699734015,0.0,0.0,0.0,0.0,0.0,0.20166031141807492,0.0,0.340062527973914,0.33177399063460966
2024-12-07,0.0,0.0,0.0,0.0,0.0,0.13348043970333193,0.0,0.0,0.0,0.0,0.0,0.21628803693093168,0.0,0.34002838140305325,0.31020314196268317
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.1331411557572798,0.0,0.0,0.0,0.0,0.0,0.1871860111678994,0.0,0.379130884580433,0.300541948494388
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.19154177221529803,0.0,0.0,0.0,0.0,0.0,0.14175038618034314,0.0,0.40754102100056694,0.25916682060379187
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.2176136366296446,0.0,0.0,0.0,0.0,0.0,0.10478467890129829,0.0,0.4579011987881929,0.21970048568086434
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.14783513293802086,0.0,0.0,0.0,0.0,0.0,0.15080893691128375,0.0,0.5415123204686786,0.1598436096820168
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.12922323318329054,0.0,0.0,0.0,0.01701851393087889,0.0,0.1379922134619843,0.0,0.5329714939408619,0.1827945454829844
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.12655805553153257,0.0,0.0,0.0,0.03790070264032185,0.0,0.04321617505132463,0.0,0.6059364327962293,0.18638863398059163
2024-12-14,0.0,0.0,0.0,0.0,0.0,0.14014078331333324,0.0,0.0,0.0,0.03436229039470787,0.0,0.0,0.0,0.6492497483256593,0.1762471779662996
2024-12-15,0.0,0.0,0.0,0.0,0.0,0.13628073323046422,0.0,0.0,0.0,0.04788071383348499,0.0,0.0,0.0,0.6299202300382523,0.18591832289779847
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.11190191065616112,0.0,0.0,0.0,0.08894581669034354,0.0,0.0,0.0,0.5745751984924441,0.22457707416105122
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.12598496503952897,0.0,0.0,0.0,0.12480694200746918,0.0,0.0,0.0,0.5426794019875747,0.2065286909654272
2024-12-18,0.0,0.0,0.0,0.01300453772519506,0.0,0.19739698827934896,0.0,0.022577640498763655,0.0,0.09214338870782374,0.0,0.0,0.0,0.47773965633999105,0.19713778844887753
2024-12-19,0.0,0.0,0.0,0.0066918061455034095,0.0,0.18680494996482847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7237865096916208,0.08271673419804727
2024-12-20,0.0,0.0,0.0,0.0,0.0,0.1859143292307858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7266195735763876,0.08746609719282675
2024-12-21,0.0,0.0,0.0,0.0,0.0,0.1745009454120324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7332834265795964,0.0922156280083712
2024-12-22,0.0,0.000680481470180884,0.0,0.0,0.0,0.15964362525106368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7345160497015413,0.10515984357721411
2024-12-23,0.0,0.014591674580746967,0.0,0.0,0.0,0.14285140941172816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6939276606684985,0.14862925533902624
2024-12-24,0.0,0.02084652391687827,0.0,0.0,0.0,0.12303101218351109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.703413071092031,0.15270939280757956
2024-12-25,0.0,0.16188420395977,0.0,0.09202754327228597,0.0,0.06494627360297583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34561757239653607,0.3355244067684322
2024-12-26,0.0,0.1485418211782947,0.0,0.11323513498280163,0.0,0.053027378877294695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33221933110179774,0.35297633385981125
2024-12-27,0.0,0.16657352952735632,0.0,0.10983297521765618,0.0,0.031131494917176854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32984499008284096,0.3626170102549696
2024-12-28,0.0,0.1301967173733323,0.0,0.11737234340018017,0.0,0.07255786824125703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32572537984325206,0.35414769114197847
2024-12-29,0.0,0.13401420497559083,0.0,0.11417763955564014,0.0,0.059583818925821076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334255355123313,0.35796898141963507
2024-12-30,0.0,0.13903701644612806,0.0,0.1264457970626012,0.0,0.060110057632802576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3280541448041938,0.3463529840542743
2024-12-31,0.0,0.144266684853993,0.0,0.13697435664329288,0.0,0.03951706235924389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3418445700140099,0.3373973261294604
2025-01-01,0.0,0.21781674778240398,0.0,0.03743399328184911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46128846858384825,0.28346079035189864
2025-01-02,0.0,0.176891535168701,0.0,0.10692993734444187,0.0,0.007776148547099108,0.0,0.0,0.0,0.011609873885676011,0.0,0.0,0.0,0.3573701263159291,0.3394223787381529
2025-01-03,0.0,0.2160188043172524,0.0,0.1046241285873478,0.0,0.001823027266504457,0.0,0.0,0.0,0.0011968082730244136,0.0,0.0,0.0,0.3446326075840595,0.3317046239718114
