,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15975918212241175,0.0,0.09589240885869328,0.0,0.6421547655293445,0.10219364348955044
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.011343702815034296,0.0,0.0,0.0,0.05033533740432713,0.0,0.1302686727599728,0.0,0.7181488114987997,0.08990347552186602
2024-12-03,0.0,0.028307594009924646,0.0,0.0,0.0,0.03415533904863977,0.0,0.0,0.0,0.0,0.0,0.09806606801568733,0.0,0.6145423202897603,0.22492867863598806
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.047472856778285374,0.0,0.0,0.0,0.0,0.0,0.27287785660871944,0.0,0.45151927769902916,0.22813000891396604
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.08079698006150474,0.0,0.0,0.0,0.0,0.0,0.27901919143619436,0.0,0.4057338890481635,0.2344499394541374
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.07952870558830892,0.0,0.0,0.0,0.016384110395829033,0.0,0.31056262418338754,0.0,0.3599923403393758,0.23353221949309888
2024-12-07,0.0,0.0,0.0,0.0,0.0,0.0818156462804407,0.0,0.0,0.0,0.027506678899434877,0.0,0.3394502627432395,0.0,0.30949505732230626,0.24173235475457877
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.07137400906504032,0.0,0.0,0.0,0.052530525695026406,0.0,0.3281727335032292,0.0,0.3191000631459372,0.22882266859076691
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.2305712804095381,0.0,0.0,0.0,0.0,0.0,0.23934749305040992,0.0,0.38438192068029015,0.1456993058597618
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.2927772075697167,0.0,0.0,0.0,0.0,0.0,0.2601614670270769,0.0,0.2501006127125244,0.19696071269068213
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.11287636259410251,0.0,0.0,0.0,0.0,0.0,0.4253515480260254,0.0,0.3267346015718652,0.1350374878080069
